time,price
2017-03,68708
2017-04,66536
2017-05,66089
2017-06,63356
2017-07,62845
2017-08,62097
2017-09,61367
2017-10,60846
2017-11,60533
2017-12,59680
2018-01,59452
2018-02,59579
2018-03,62277
2018-04,62691
2018-05,64373
2018-06,64869
2018-07,65343
2018-08,65858
2018-09,64559
2018-10,63674
2018-11,62397
2018-12,61078
2019-01,62962
2019-02,62779
2019-03,62817
2019-04,62704
2019-05,62428
2019-06,61841
2019-07,61526
2019-08,61218
2019-09,61102
2019-10,60894
2019-11,60846
2019-12,60566
2020-01,60638
2020-01,60638
2020-02,60384
2020-03,60015
2020-04,60004
2020-05,61894
2020-06,63323
2020-07,62916
2020-08,62742
2020-09,62209
2020-10,61711
2020-11,61304
2020-12,60629
2021-01,61866
2021-02,62565
2021-03,62468

