时间戳,日期,区域,套数,成交面积
1612809096,2021年1月,全市,19190.0,1673597.0499999998
1612809096,2021年1月,东城,763,57822.9400
1612809096,2021年1月,西城,1503,98932.2600
1612809096,2021年1月,崇文,,
1612809096,2021年1月,宣武,,
1612809096,2021年1月,朝阳,4627,423352.5200
1612809096,2021年1月,海淀,2835,239103.5300
1612809096,2021年1月,丰台,2026,164449.3300
1612809096,2021年1月,石景山,548,40455.0100
1612809096,2021年1月,通州,1072,93297.8300
1612809096,2021年1月,房山,936,76451.8800
1612809096,2021年1月,顺义,527,63851.2500
1612809096,2021年1月,门头沟,232,16760.2200
1612809096,2021年1月,大兴,1128,101833.3200
1612809096,2021年1月,怀柔,164,15838.7000
1612809096,2021年1月,密云,522,51537.0000
1612809096,2021年1月,昌平,1661,168339.4300
1612809096,2021年1月,延庆,155,13727.8400
1612809096,2021年1月,平谷,212,19933.7000
1612809096,2021年1月,开发区,279,27910.2900
